point,epsilon 0.3 sq,epsilon 0.05 sq,epsilon 0.3 quad,epsilon 0.05 quad
-3,0.0337781,0.00568795,0.000363637,1.68372e-06
-2.99,0.0340081,0.00572709,0.000368759,1.70744e-06
-2.98,0.0342404,0.00576664,0.000373971,1.73158e-06
-2.97,0.0344751,0.00580661,0.000379278,1.75615e-06
-2.96,0.0347122,0.00584699,0.000384679,1.78116e-06
-2.95,0.0349518,0.0058878,0.000390178,1.80663e-06
-2.94,0.035194,0.00592905,0.000395776,1.83255e-06
-2.93,0.0354386,0.00597073,0.000401477,1.85895e-06
-2.92,0.0356859,0.00601286,0.000407281,1.88583e-06
-2.91,0.0359357,0.00605544,0.000413191,1.9132e-06
-2.9,0.0361882,0.00609848,0.000419211,1.94108e-06
-2.89,0.0364434,0.00614199,0.000425341,1.96947e-06
-2.88,0.0367013,0.00618597,0.000431585,1.99838e-06
-2.87,0.036962,0.00623043,0.000437945,2.02784e-06
-2.86,0.0372255,0.00627537,0.000444424,2.05784e-06
-2.85,0.0374918,0.00632081,0.000451024,2.08841e-06
-2.84,0.037761,0.00636674,0.000457749,2.11955e-06
-2.83,0.0380331,0.00641319,0.000464601,2.15128e-06
-2.82,0.0383082,0.00646015,0.000471582,2.18362e-06
-2.81,0.0385864,0.00650763,0.000478697,2.21657e-06
-2.8,0.0388676,0.00655565,0.000485948,2.25015e-06
-2.79,0.0391518,0.00660421,0.000493338,2.28438e-06
-2.78,0.0394393,0.00665331,0.000500871,2.31926e-06
-2.77,0.0397299,0.00670297,0.00050855,2.35482e-06
-2.76,0.0400238,0.00675319,0.000516377,2.39108e-06
-2.75,0.040321,0.00680399,0.000524358,2.42804e-06
-2.74,0.0406215,0.00685537,0.000532496,2.46573e-06
-2.73,0.0409254,0.00690734,0.000540793,2.50416e-06
-2.72,0.0412328,0.00695991,0.000549255,2.54335e-06
-2.71,0.0415437,0.00701309,0.000557884,2.58332e-06
-2.7,0.0418581,0.00706689,0.000566686,2.62408e-06
-2.69,0.0421761,0.00712131,0.000575664,2.66567e-06
-2.68,0.0424978,0.00717638,0.000584823,2.70809e-06
-2.67,0.0428232,0.0072321,0.000594166,2.75136e-06
-2.66,0.0431524,0.00728847,0.000603699,2.79552e-06
-2.65,0.0434854,0.00734552,0.000613426,2.84057e-06
-2.64,0.0438223,0.00740324,0.000623353,2.88655e-06
-2.63,0.0441632,0.00746166,0.000633483,2.93347e-06
-2.62,0.0445081,0.00752078,0.000643823,2.98136e-06
-2.61,0.0448571,0.00758062,0.000654376,3.03025e-06
-2.6,0.0452102,0.00764118,0.00066515,3.08015e-06
-2.59,0.0455676,0.00770248,0.000676149,3.1311e-06
-2.58,0.0459292,0.00776453,0.000687379,3.18311e-06
-2.57,0.0462952,0.00782734,0.000698846,3.23623e-06
-2.56,0.0466656,0.00789093,0.000710557,3.29048e-06
-2.55,0.0470406,0.00795531,0.000722516,3.34588e-06
-2.54,0.04742,0.00802049,0.000734732,3.40246e-06
-2.53,0.0478042,0.00808649,0.00074721,3.46026e-06
-2.52,0.048193,0.00815331,0.000759958,3.51932e-06
-2.51,0.0485867,0.00822098,0.000772983,3.57965e-06
-2.5,0.0489852,0.0082895,0.000786291,3.6413e-06
-2.49,0.0493887,0.0083589,0.00079989,3.7043e-06
-2.48,0.0497973,0.00842919,0.000813789,3.76869e-06
-2.47,0.050211,0.00850037,0.000827996,3.8345e-06
-2.46,0.0506299,0.00857248,0.000842517,3.90177e-06
-2.45,0.0510541,0.00864552,0.000857363,3.97055e-06
-2.44,0.0514836,0.00871952,0.000872542,4.04087e-06
-2.43,0.0519187,0.00879448,0.000888063,4.11278e-06
-2.42,0.0523594,0.00887043,0.000903935,4.18631e-06
-2.41,0.0528058,0.00894738,0.000920169,4.26152e-06
-2.4,0.0532579,0.00902535,0.000936774,4.33846e-06
-2.39,0.0537159,0.00910436,0.000953761,4.41716e-06
-2.38,0.0541799,0.00918443,0.000971139,4.49768e-06
-2.37,0.05465,0.00926558,0.000988922,4.58007e-06
-2.36,0.0551263,0.00934782,0.00100712,4.66438e-06
-2.35,0.0556088,0.00943119,0.00102574,4.75067e-06
-2.34,0.0560979,0.00951569,0.00104481,4.839e-06
-2.33,0.0565934,0.00960135,0.00106432,4.92942e-06
-2.32,0.0570956,0.00968819,0.0010843,5.022e-06
-2.31,0.0576046,0.00977623,0.00110476,5.11679e-06
-2.3,0.0581204,0.0098655,0.00112571,5.21387e-06
-2.29,0.0586433,0.00995602,0.00114716,5.31329e-06
-2.28,0.0591734,0.0100478,0.00116914,5.41514e-06
-2.27,0.0597107,0.0101409,0.00119165,5.51947e-06
-2.26,0.0602554,0.0102353,0.00121472,5.62637e-06
-2.25,0.0608077,0.0103311,0.00123836,5.73592e-06
-2.24,0.0613677,0.0104282,0.00126258,5.84819e-06
-2.23,0.0619356,0.0105267,0.00128741,5.96326e-06
-2.22,0.0625114,0.0106267,0.00131287,6.08123e-06
-2.21,0.0630954,0.0107281,0.00133896,6.20218e-06
-2.2,0.0636876,0.010831,0.00136572,6.3262e-06
-2.19,0.0642884,0.0109354,0.00139316,6.45339e-06
-2.18,0.0648977,0.0110414,0.00142131,6.58384e-06
-2.17,0.0655159,0.0111489,0.00145018,6.71767e-06
-2.16,0.066143,0.0112581,0.0014798,6.85498e-06
-2.15,0.0667792,0.0113689,0.0015102,6.99588e-06
-2.14,0.0674248,0.0114813,0.00154139,7.14048e-06
-2.13,0.0680799,0.0115955,0.00157341,7.2889e-06
-2.12,0.0687446,0.0117114,0.00160627,7.44128e-06
-2.11,0.0694192,0.0118292,0.00164002,7.59772e-06
-2.1,0.0701039,0.0119487,0.00167467,7.75838e-06
-2.09,0.0707989,0.0120701,0.00171026,7.92339e-06
-2.08,0.0715044,0.0121933,0.00174682,8.09289e-06
-2.07,0.0722206,0.0123186,0.00178438,8.26704e-06
-2.06,0.0729477,0.0124458,0.00182297,8.44598e-06
-2.05,0.073686,0.012575,0.00186263,8.62989e-06
-2.04,0.0744356,0.0127063,0.00190339,8.81893e-06
-2.03,0.0751969,0.0128396,0.0019453,9.01328e-06
-2.02,0.07597,0.0129752,0.00198839,9.21312e-06
-2.01,0.0767553,0.013113,0.0020327,9.41864e-06
-2,0.0775529,0.013253,0.00207828,9.63004e-06
-1.99,0.0783632,0.0133953,0.00212517,9.84753e-06
-1.98,0.0791863,0.01354,0.00217342,1.00713e-05
-1.97,0.0800226,0.0136871,0.00222307,1.03016e-05
-1.96,0.0808724,0.0138366,0.00227417,1.05387e-05
-1.95,0.081736,0.0139887,0.00232678,1.07828e-05
-1.94,0.0826136,0.0141433,0.00238096,1.10342e-05
-1.93,0.0835056,0.0143006,0.00243675,1.1293e-05
-1.92,0.0844123,0.0144606,0.00249422,1.15597e-05
-1.91,0.085334,0.0146234,0.00255344,1.18345e-05
-1.9,0.0862711,0.014789,0.00261446,1.21177e-05
-1.89,0.0872238,0.0149575,0.00267735,1.24095e-05
-1.88,0.0881926,0.015129,0.00274218,1.27105e-05
-1.87,0.0891778,0.0153035,0.00280904,1.30208e-05
-1.86,0.0901799,0.0154811,0.00287798,1.33409e-05
-1.85,0.0911991,0.0156619,0.00294911,1.36711e-05
-1.84,0.0922359,0.015846,0.0030225,1.40118e-05
-1.83,0.0932906,0.0160334,0.00309823,1.43634e-05
-1.82,0.0943638,0.0162243,0.00317641,1.47265e-05
-1.81,0.0954559,0.0164187,0.00325713,1.51013e-05
-1.8,0.0965672,0.0166167,0.00334048,1.54885e-05
-1.79,0.0976983,0.0168184,0.00342659,1.58884e-05
-1.78,0.0988497,0.017024,0.00351555,1.63017e-05
-1.77,0.100022,0.0172334,0.00360749,1.67288e-05
-1.76,0.101215,0.0174468,0.00370253,1.71704e-05
-1.75,0.10243,0.0176643,0.00380079,1.76271e-05
-1.74,0.103667,0.017886,0.00390242,1.80994e-05
-1.73,0.104928,0.0181121,0.00400755,1.85881e-05
-1.72,0.106211,0.0183426,0.00411634,1.90938e-05
-1.71,0.107519,0.0185777,0.00422894,1.96173e-05
-1.7,0.108851,0.0188174,0.00434551,2.01594e-05
-1.69,0.110208,0.019062,0.00446624,2.07209e-05
